iter	Passed	Remaining
0	0	114
1	0	118
2	0	114
3	0	109
4	1	107
5	1	105
6	1	105
7	1	108
8	2	109
9	2	120
10	2	128
11	3	128
12	3	127
13	3	125
14	3	123
15	4	122
16	4	121
17	4	122
18	4	121
19	5	122
20	5	123
21	5	123
22	5	123
23	6	124
24	6	125
25	6	125
26	7	123
27	7	123
28	7	123
29	7	122
30	8	121
31	8	120
32	8	120
33	8	120
34	9	121
35	9	120
36	9	120
37	9	119
38	10	119
39	10	118
40	10	117
41	10	117
42	10	116
43	11	116
44	11	115
45	11	114
46	11	113
47	12	113
48	12	112
49	12	111
50	12	111
51	12	111
52	13	110
53	13	110
54	13	110
55	13	110
56	14	110
57	14	109
58	14	109
59	14	108
60	14	107
61	15	107
62	15	106
